method,curve,x,y,support_size
target_active_gds_specialist (K=16),risk_coverage,0.1250559284116331,0.1887896867939065,16
target_active_gds_specialist (K=16),risk_coverage,0.16677852348993288,0.18852691015405534,16
target_active_gds_specialist (K=16),risk_coverage,0.20838926174496644,0.18805911532731795,16
target_active_gds_specialist (K=16),risk_coverage,0.2501118568232662,0.18750098150647593,16
target_active_gds_specialist (K=16),risk_coverage,0.2917225950782998,0.18697865173628184,16
target_active_gds_specialist (K=16),risk_coverage,0.33344519015659957,0.18737347576629085,16
target_active_gds_specialist (K=16),risk_coverage,0.3750559284116331,0.1875672703502452,16
target_active_gds_specialist (K=16),risk_coverage,0.4167785234899329,0.1877333133751857,16
target_active_gds_specialist (K=16),risk_coverage,0.45838926174496647,0.18771309955946636,16
target_active_gds_specialist (K=16),risk_coverage,0.5001118568232662,0.18789043808858027,16
target_active_gds_specialist (K=16),risk_coverage,0.5417225950782998,0.18839178605398224,16
target_active_gds_specialist (K=16),risk_coverage,0.5833333333333334,0.18860375917620054,16
target_active_gds_specialist (K=16),risk_coverage,0.6250559284116332,0.19019700780571133,16
target_active_gds_specialist (K=16),risk_coverage,0.6666666666666666,0.1925871849849347,16
target_active_gds_specialist (K=16),risk_coverage,0.7083892617449664,0.19565624269959653,16
target_active_gds_specialist (K=16),risk_coverage,0.75,0.1987504682726237,16
target_active_gds_specialist (K=16),risk_coverage,0.7917225950782998,0.2021116286665974,16
target_active_gds_specialist (K=16),risk_coverage,0.8333333333333334,0.2061250519254261,16
target_active_gds_specialist (K=16),risk_coverage,0.8750559284116332,0.2115381718078947,16
target_active_gds_specialist (K=16),risk_coverage,0.9166666666666666,0.2215428134528127,16
target_active_gds_specialist (K=16),risk_coverage,0.9583892617449664,0.23809857658432462,16
target_active_gds_specialist (K=16),risk_coverage,1.0,0.2611591375609706,16
target_control_scratch (K=16),calibration,0.5,0.706696557435491,16
target_control_scratch (K=16),calibration,0.8,0.9394477838299368,16
target_control_scratch (K=16),calibration,0.9,0.9712048888626538,16
target_control_scratch (K=16),calibration,0.95,0.9792570224111877,16
target_control_scratch (K=16),risk_coverage,0.00011185682326621924,0.30207957846165356,16
target_control_scratch (K=16),risk_coverage,0.04172259507829978,0.2646116853875191,16
target_control_scratch (K=16),risk_coverage,0.08344519015659956,0.30494251754587437,16
target_control_scratch (K=16),risk_coverage,0.1250559284116331,0.345890845567551,16
target_control_scratch (K=16),risk_coverage,0.16677852348993288,0.365528375021431,16
target_control_scratch (K=16),risk_coverage,0.20838926174496644,0.3800171394613775,16
target_control_scratch (K=16),risk_coverage,0.2501118568232662,0.3945743176034604,16
